ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,emoticons
782853874801479680,u'RT @Sentifi_CH: #virnetx is today the most discussed company in the world\n\nhttps://t.co/wN4v0EP3uP $VHC\n#Fintech #BigData #Apple $AAPL\nawar\u2026',False,3,0,1098,0.0,20,0,0,0
782853547922554883,u'RT @Sentifi_CH: #virnetx is today the most discussed company in the world\n\nhttps://t.co/wN4v0EP3uP $VHC\n#Fintech #BigData #Apple $AAPL\nawar\u2026',False,3,0,3065,0.0,20,0,0,0
782853328891895809,u'RT @Sentifi_CH: #virnetx is today the most discussed company in the world\n\nhttps://t.co/wN4v0EP3uP $VHC\n#Fintech #BigData #Apple $AAPL\nawar\u2026',False,3,0,15233,0.0,20,0,0,0
782852806583648256,u'RT @drastichs: #Prognosis of #stocks to #grow #significantly #Bullish Full list\n\n$AA $AAPL $ABX $AMAT $AMD $BABA $BAC $BBD $C $CLF $CMCSA $\u2026',False,1,0,6755,0.0,40,0,0,0
782852574944919552,u'$AAPL and the new iPhone 7 https://t.co/EBHb5ZWZON #elliottwave #trading https://t.co/JsTSBQQKMb',False,0,1,12292,0.0,21,0,0,0
782852259516444672,"u""RT @MacHashNews: Angela Ahrendts is Now Simply Senior Vice President of Retail as Apple Drops 'Online Stores' From\u2026 https://t.co/yzt6q91Krb\u2026""",False,1,0,31798,0.0,19,0,0,0
782852063445315584,"u'RT @SchwartzNow: - ""own brand and design...part of a batch of new devices (to) compete ... with Apple and Amazon""\n#Tech\n$GOOGL $AAPL $AMZN\u2026'",False,1,0,1336,0.0,20,0,0,0
782852062644146176,u'RT @Games_cloud: Placement: $AMZN $NFLX $AAPL #earnings Portfolios US 12 month... https://t.co/zhR52VUIuL',False,1,0,1336,0.0,24,0,0,0
782852061754978304,u'RT @Top_Dow_Stocks: #Dow #stocks $AAPL Apple  Daily:0.71% Weekly:0.23% YTD:9.15% Trend:71 / 100  https://t.co/pBjZclphVJ',False,1,0,1336,0.0,21,0,0,0
782852060702277632,u'RT @Investing_Books: Trading Options Around Earnings Reports: https://t.co/Cw6vHzXIMA #options $AMZN $NFLX $TSLA $AAPL $BBRY $TIF $GOOGL $L\u2026',False,1,0,1336,0.0,44,0,0,0
782852059922100225,u'RT @Investing_Books: 100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNdITW $AAPL $MCD $WMT $TSLA $MSFT $KO\u2026',False,1,0,1336,0.0,37,0,0,0
782847046772326401,u'AAPL Becton Dickinson and Co. Stock Forum\nRead More --&gt; https://t.co/VLyCBGLO1q\n\n$AAPL $NVDA $JNUG #nasdaq',False,0,2,124,0.0,30,0,0,0
782845820353679360,"u'- ""own brand and design...part of a batch of new devices (to) compete ... with Apple and Amazon""\n#Tech\n$GOOGL $AAPL\u2026 https://t.co/kj4CeIqTwz'",False,1,2,2907,0.0,15,0,0,0
782845015215177728,u'Placement: $AMZN $NFLX $AAPL #earnings Portfolios US 12 month... https://t.co/zhR52VUIuL',False,1,2,1399,0.0,21,0,0,0
782843092529328128,u'#Dow #stocks $AAPL Apple  Daily:0.71% Weekly:0.23% YTD:9.15% Trend:71 / 100  https://t.co/pBjZclphVJ',False,1,1,79,0.0,16,0,0,0
782842354076045312,u'Trading Options Around Earnings Reports: https://t.co/Cw6vHzXIMA #options $AMZN $NFLX $TSLA $AAPL $BBRY $TIF $GOOGL $LNKD $FB $QCOM',False,1,1,301,0.0,49,0,0,0
782841998969634816,u'RT @Jim_Edwards: How iPhone sales correlate with Google search results $AAPL https://t.co/v3dEffu7EW by @Jim_Edwards https://t.co/oc0SISNAyU',True,2,0,9229,0.0,22,0,0,0
782839551425257472,u'RT @andrewross11: $spy short shares; 15000 $uso; 4000 $twtr; $nflx 1350; $fb 1000; $aapl 1200; $amzn 250; $qqq 1000',False,2,0,1798,1.0,2,0,0,0
782838881435656192,u'#virnetx is today the most discussed company in the world\n\nhttps://t.co/wN4v0EP3uP $VHC\n#Fintech #BigData #Apple\u2026 https://t.co/YHmkW4KMlV',False,3,5,9442,0.0,17,0,0,0
782838881431461892,u'#virnetx is today the most discussed company in the world\n\nhttps://t.co/6w3VUhpO7i $VHC\n#Fintech #BigData #Apple\u2026 https://t.co/GI4qElG3SW',False,0,3,5895,0.0,16,0,0,0
782838881368608768,u'#virnetx is today the most discussed company in the world\n\nhttps://t.co/vGW42uVJsK $VHC\n#Fintech #BigData #Apple\u2026 https://t.co/pA2jiVGybI',False,0,0,12019,0.0,16,0,0,0
782838582780112899,u'100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNdITW $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE',False,1,0,301,0.0,44,0,0,0
782837041239252992,u'@Cogitatorium #StockTip - $UBQU is the hottest #mmjstocks #marijuanastocks #mjstocks right now. $SPCL $TBEV $DLCR $AAPL $SFOR',False,0,0,769,0.0,27,0,0,0
782836904311914496,u'@StartupCannabis #StockTip - $UBQU is the hottest #mmjstocks #marijuanastocks #mjstocks right now. $SPCL $TBEV $DLCR $AAPL $SFOR',False,0,0,769,0.0,28,0,0,0
782836893528494080,"u'RT @technosucks: You got em right where you want em @Apple. Make your move in 2017, @tim_cook. $AAPL #OneMoreThing https://t.co/3E1gfKjQKp'",False,1,0,1336,1.0,16,0,0,0
