,Date,Tweet,Sentiment_Score
0,2016-06-15,'RT @johnscharts: Similar to $GOOGL: $NFLX is showing reversal signals within coil with hammer and doji https://t.co/bn6VqLg3HI',0.0
1,2016-06-15,'Similar to $GOOGL: $NFLX is showing reversal signals within coil with hammer and doji https://t.co/bn6VqLg3HI',0.0
2,2016-06-15,"'#consumer, #jobs New #OT rules | ""OVERTIME: It\xd5s about time"" https://t.co/p4aTD0l8GT @YouTube $GOOGL'",0.0
3,2016-06-15,'$GOOGL:\r\rIs Dallas the Next Destination for Alphabet (GOOGL) Fiber?:\r\rhttps://t.co/YzADwPNYhr',0.0
4,2016-06-15,'Unusual Call Activity https://t.co/4jDlRqXapi  $KR $WFT $LOW $PYPL $MGM $VXX $GLD $IYR $LVS $KMI $VLO $GDXJ $TWTR $CMG $GOOGL',0.0
5,2016-06-15,'$SPY $FB $IWM $IBB $AMZN $GOOGL Pay Attention to These Words and Dots: Fed Decision-Day Guide - Bloomberg https://t.co/6yb94l0xgJ',-1.0
6,2016-06-15,'$MSFT $AAPL $GOOGL:\r\rApple Tries to Limit Google Incursions Onto its Devices:\r\rhttps://t.co/lOtbXbjTaX',0.0
7,2016-06-15,'Google Fiber explores Dallas https://t.co/lsdBkq1vrU $GOOG $GOOGL',0.0
8,2016-06-15,'#YouTube is built on the back of stolen content: Trent Reznor. https://t.co/GQDDATu9Lx $AAPL $GOOGL #MusicBiz https://t.co/Fq4wYGolUR',-2.0
9,2016-06-15,"'Andreas Halvorsen Buys Facebook, Amazon, MasterCard $GOOGL $MA $AET $TEVA $ECA $AMZN $COG $LLY $FB https://t.co/eYYFZyKD4Z'",0.0
10,2016-06-15,'RT @MarketsRecap: These 3 Stocks Will Surprise Investors This Earnings Season $ADBE $TTWO $ANET Also $AAPL $AMZN $FB $GOOGL https://t.co/kZ\xc9',0.0
11,2016-06-15,'RT @Dealogic: $GOOGL buying $TWTR predicted to follow Microsoft\xd5s move for LinkedIn https://t.co/seIfYvuRPn $MSFT $LKND #business #market',0.0
12,2016-06-15,'RT @SAlphaTech: Google Fiber explores Dallas https://t.co/2NGyM8BlQL $GOOG $GOOGL',0.0
13,2016-06-15,'Google Fiber explores Dallas https://t.co/FRVdpcrfXO $GOOG $GOOGL',3.0
14,2016-06-15,'Google Fiber explores Dallas https://t.co/2NGyM8BlQL $GOOG $GOOGL',0.0
15,2016-06-15,'Google Fiber explores Dallas https://t.co/jqSdS66Okw $GOOG $GOOGL',0.0
16,2016-06-15,'These 3 Stocks Will Surprise Investors This Earnings Season $ADBE $TTWO $ANET Also $AAPL $AMZN $FB $GOOGL https://t.co/kZjzkeZ3z0',0.0
17,2016-06-15,'HTS Horizons BetaPro S&amp;P/TSX 60 Bear Plus ETF Short Sales\rhttps://t.co/G0ImskmylP\r\r$HTS $GOOGL $VXX $EWG  #share #tradeideas',1.0
18,2016-06-15,"'GOOGL GoPro, Inc. Yield\rhttps://t.co/LA4ddiAMCI\r\r$GOOGL $TWTR $AGEN $ABX  #stocks #tradeideas'",0.0
19,2016-06-15,'Alphabet Launches Enterprise Assistant Springboard - https://t.co/aRbZmQJjza $GOOGL https://t.co/6XnXKmO0PW',0.0
20,2016-06-15,'RT @veryFatcat: My cat is running the algos for this morning.\r$spx $VIX $VXX $AAPL $AMZN $NFLX $FIT $GOOGL\r@carlquintanilla \rhttps://t.co/H\xc9',1.0
21,2016-06-15,"""$GOOGL $FB French killer's Facebook broadcast underscores live video challenges. https://t.co/pCsh6KH1aU #Finance #Stocks""",0.0
22,2016-06-15,'RT @DarbyOGill_: Sign up for free on 1broker where you can trade #Forex and earn profits in $BTC https://t.co/z9I0xl0US7 $APPL $FB $GOOGL $\xc9',3.0
23,2016-06-15,'XLE Financial Select Sector SPDR Fund Company Info\rhttps://t.co/l0W682OsKS\r\r$XLE $GOOGL $LABU $GBSN  #tradeideas #nasdaq',0.0
24,2016-06-15,'TLT Direxion Daily 20+ Year Treasury Bull 3x Shares Ask Size\rhttps://t.co/FJblau2tGN\r\r$TLT $FXA $VMRI $GOOGL  #stock #nasdaq',1.0
25,2016-06-15,'Altering the deal: why Tony Fadell left Nest \xd1 and Alphabet - https://t.co/bkXEbGochI - $GOOG $GOOGL',0.0
26,2016-06-15,'XLB Materials Select Sector SPDR Fund Message Board Posts\rhttps://t.co/JtgWCDGWin\r\r$XLB $MEG.TO $SIL $GOOGL  #tradeideas #invest',0.0
27,2016-06-15,'RT @theflynews: On The Fly: Top stock stories at midday $NFLX $GOOG $GOOGL $T $VZ $VG $NXTM $DVA $FOLD $PLX $LQ $H $RVNC $NAV... https://t.\xc9',2.0
28,2016-06-15,"""RT @sonycomeback: $SNE #SonyE3  BOOK VALUE 2X $MSFT MICROSOFT'S WHY THE HELL $MSFT MKT CAP 10 TIMES THAT OF $SNE ?? #E3 #e32016 $FB $AAPL $\xc9""",-4.0
29,2016-06-15,'RT @sonycomeback: $SNE Sony #Xperia X has a 23MP camera 2-day battery life!! you can preorder \rhttps://t.co/Rg2NzQ7fip @jimcramer $AAPL $GO\xc9',0.0
30,2016-06-15,'Marc Andreessen on Invention https://t.co/51VJefbU3v via @technology $AMZN $FB $GOOGL $TWTR',0.0
31,2016-06-15,"""Btw, Estimated #Earnings Per Share for $GOOGL is $8.38 it's 1.14% of the current price https://t.co/Iah68LFQOW""",1.0
32,2016-06-15,"'Top losers today: $GOLD, $GGAL, $GOOGL, $FRAN, and $VOD on $Stockmobi_App - the best stock app for stock traders https://t.co/gf9jrCXC6X'",7.0
33,2016-06-15,"'Top losers today: $GOLD, $GGAL, $GOOGL, $FRAN, and $VOD\rBest stock app: https://t.co/RC30sy6BMf https://t.co/NI66XuTqEq'",7.0
34,2016-06-15,'Alphabet Could Become A Dominant ISP https://t.co/CdhQaMSTUb $CMCSA $FB $T $GOOG $GOOGL',0.0
35,2016-06-15,'RT @NewsToDesk: $GOOGL:\r\rFull Show: Bloomberg West (06/14):\r\rhttps://t.co/d6S5vfXVhf',-2.0
36,2016-06-15,"'Top losers today: $GOLD, $GGAL, $GOOGL, $FRAN, and $VOD\rhttps://t.co/WlDvybx6fs https://t.co/JRPLqXHbqh'",4.0
37,2016-06-15,'RT @MartinMushell: Educated guess: $GOOGL buys $TWTR for $24 per share. Best fit &amp; $TWTR not selling for less.',5.0
38,2016-06-15,'RT @passthepuck: @Ericsson &amp; @Sprint Kick Off Next-Generation Sporting Experience: https://t.co/164nr93GLl $S $QQQ $MSFT $DISH $DIS $GOOGL\xc9',0.0
39,2016-06-15,'The Real Problem With Real Estate Understood By Market Monetarists $AAPL  $GOOGL https://t.co/1n0AemELPg',-2.0
40,2016-06-15,'RT @SAI: Google aids app discoverability with Nearby $GOOG $GOOGL https://t.co/zYRXuTE5ad https://t.co/SN5ngWYGej',0.0
41,2016-06-15,'$GOOGL:\r\rFull Show: Bloomberg West (06/14):\r\rhttps://t.co/d6S5vfXVhf',-2.0
42,2016-06-15,"'RT @ActionJackson85: ""Google Fiber announces pricing and plans for Atlanta""\r $goog $googl $qqq $vz $chtr $t \r\rvia DuckDuckGo for iOS\r\r http\xc9'",0.0
43,2016-06-15,'$twtr $googl $spy $aapl @jack  https://t.co/1QiSaIhl6z',0.0
44,2016-06-15,'$SNE Sony #Xperia X has a 23MP camera 2-day battery life!! you can preorder \rhttps://t.co/Rg2NzQ7fip @jimcramer $AAPL $GOOGL $SSNLF $MSFT $T',0.0
45,2016-06-15,"'""Google Fiber announces pricing and plans for Atlanta""\r $goog $googl $qqq $vz $chtr $t \r\rvia DuckDuckGo for iOS\r\r https://t.co/TQd8r8Ospp'",0.0
46,2016-06-15,"'$TWTR +5% $15.36 LONG ""Bets are on that $GOOGL will buy Twitter by the end of the year."" @MarketWatch'",0.0
47,2016-06-15,'RT @stockguy22: $TWTR possible buyout target of $GOOG $GOOGL .. after the $LNKD - $MSFT buyout  https://t.co/Q7q1keQtwO',0.0
48,2016-06-15,'RT @stockguy22: $TWTR possible buyout target of $GOOG $GOOGL .. after the $LNKD - $MSFT buyout  https://t.co/Q7q1keQtwO',0.0
49,2016-06-15,'GOOGL Alphabet Inc. Current Price\rhttps://t.co/CgZxFnqMw1\r\r$GOOGL $FCX $DXD $DBA  #tradeideas #stockmarket',0.0
50,2016-06-15,"'Alphabet (GOOGL) Stock Closed Up, Plans to Expand Google Fiber https://t.co/GmV170zqFA via @TheStreet $GOOGL $GOOG'",1.0
51,2016-06-15,'RT @intowin2017: ERY Direxion Daily Energy Bear 3x Shares Last Trade\rhttps://t.co/yCKUWPBgv0\r\r$ERY $EA $EDC $GOOGL  #tradeideas #stocks',1.0
52,2016-06-15,'ERY Direxion Daily Energy Bear 3x Shares Last Trade\rhttps://t.co/yCKUWPBgv0\r\r$ERY $EA $EDC $GOOGL  #tradeideas #stocks',1.0
53,2016-06-15,'RT @ElixiumCapital: Trade the $FANG stocks with 15x leverage using #Bitcoin on #1Broker $FB $AMZN $NFLX $GOOGL https://t.co/WWssD01joh http\xc9',0.0
54,2016-06-15,'These 3 Stocks Will Surprise Investors This Earnings Season $ADBE $TTWO $ANET Also $AAPL $AMZN $FB $GOOGL https://t.co/gm3b9vV1CP',0.0
55,2016-06-15,'CXRX Concordia Healthcare Corp. Prev Close\rhttps://t.co/Rer10Bx5J2\r\r$CXRX $RWM $ERY $GOOGL  #stock #investing',0.0
56,2016-06-15,'+100 $GOOGL https://t.co/vC7pNIIyRr',0.0
57,2016-06-15,"'CERE Ceres, Inc. Bid Size\rhttps://t.co/VFcCcISUgm\r\r$CERE $IBB $GOOGL $LQD  #nasdaq #stock'",0.0
58,2016-06-15,"""Analysts say Twitter is an acquisition target, and here's who they bet will buy it https://t.co/fEFWzCPI5r  $GOOG $GOOGL $FB""",0.0
59,2016-06-15,'Educated guess: $GOOGL buys $TWTR for $24 per share. Best fit &amp; $TWTR not selling for less.',5.0
60,2016-06-15,"'RT @ stockguy22 ""$TWTR possible buyout target of $GOOG $GOOGL .. after the $LNKD - $MSFT buyout  https://t.co/tZp76unk8L""'",0.0
61,2016-06-15,'RT @stockguy22: $TWTR possible buyout target of $GOOG $GOOGL .. after the $LNKD - $MSFT buyout  https://t.co/Q7q1keQtwO',0.0
62,2016-06-15,'$TWTR possible buyout target of $GOOG $GOOGL .. after the $LNKD - $MSFT buyout  https://t.co/Q7q1keQtwO',0.0
63,2016-06-15,'$GOOGL:\r\rGoogle Ventures\xd5 Bill Maris on Disruption:\r\rhttps://t.co/wiXQ8HOROY',-2.0
64,2016-06-15,'$GOOGL:\r\rAndy Rubin Sees AI and Quantum Computers as Next Big Thing:\r\rhttps://t.co/Kiy3xUOIjt',1.0
65,2016-06-15,'$FB $AMZN $NFLX $GOOGL (F.A.N.G) simple charts looks for tomorrow https://t.co/FnuMbgIstT GL',0.0
66,2016-06-15,'My cat is running the algos for this morning.\r$spx $VIX $VXX $AAPL $AMZN $NFLX $FIT $GOOGL\r@carlquintanilla \rhttps://t.co/HxG6TWjIT8',1.0
67,2016-06-15,"'Free video w/setups for June 15 ""Now We Need To See Strength"" $YHOO $GOOGL  $TWTR  $WYNN https://t.co/Vf4E1ZmcVn'",3.0
68,2016-06-15,'SSO ProShares Ultra S&amp;P500 Last Trade\rhttps://t.co/si5hofjDqb\r\r$SSO $AVGO $GOOGL $EDZ  #investing #nasdaq',0.0
69,2016-06-15,"""How much of a tech giant's value is tied to its ability to aggregate and curate compelling media content? $AMZN $FB $GOOGL $TWTR $APPL""",2.0
70,2016-06-15,'PM Philip Morris Intl Inc. 52Wk Low\rhttps://t.co/8f1Kf1saL2\r\r$PM $GOOGL $SLV $BNO  #nasdaq #stocks',0.0
71,2016-06-15,'RT @SunriseTrader: $GOOGL confirmed indecision candle at gap resistance &amp; 4 day pullback near support see what it does today on watch https\xc9',2.0
72,2016-06-15,"'RT @YahooFinance: Traders: Amazon will hit $1,000 before Alphabet https://t.co/nkHaN7INVo $GOOGL $AMZN https://t.co/HdiZ141iYz'",0.0
73,2016-06-15,'$GOOGL held where it needed to but really going to be hard to trade until above 740 https://t.co/SbdYvJtOvI',-1.0
74,2016-06-15,'Lenovo and Google unveil a smartphone that knows its way around a room: https://t.co/CrQ8XTJMtk $GOOGL',0.0
75,2016-06-15,'Lenovo and Google unveil a smartphone that knows its way around a room: https://t.co/GKeZTc4e5y $GOOGL',0.0
