Stock Ticker,Date,Time,Open,High,Low,Close,Volume
GOOG,2016-03-30,15:00:00,750.10,757.88,748.74,750.53,1780998
GOOG,2016-03-31,15:00:00,749.25,750.85,740.94,744.95,1712375
GOOG,2016-04-01,15:00:00,738.60,750.34,737.00,749.91,1574870
GOOG,2016-04-04,15:00:00,750.06,752.80,742.43,745.29,1131843
GOOG,2016-04-05,15:00:00,738.00,742.80,735.37,737.80,1129829
GOOG,2016-04-06,15:00:00,735.77,746.24,735.56,745.69,1050193
GOOG,2016-04-07,15:00:00,745.37,747.00,736.28,740.28,1429504
GOOG,2016-04-08,15:00:00,743.97,745.45,735.55,739.15,1285755
GOOG,2016-04-11,15:00:00,743.02,745.00,736.05,736.10,1211762
GOOG,2016-04-12,15:00:00,738.00,743.83,731.01,743.09,1349734
GOOG,2016-04-13,15:00:00,749.16,754.38,744.26,751.72,1707095
GOOG,2016-04-14,15:00:00,754.01,757.31,752.71,753.20,1130971
GOOG,2016-04-15,15:00:00,753.98,761.00,752.69,759.00,1800413
GOOG,2016-04-18,15:00:00,760.46,768.05,757.30,766.61,1555953
GOOG,2016-04-19,15:00:00,769.51,769.90,749.33,753.93,2027642
GOOG,2016-04-20,15:00:00,758.00,758.13,750.01,752.67,1525591
GOOG,2016-04-21,15:00:00,755.38,760.45,749.55,759.14,2743620
GOOG,2016-04-22,15:00:00,726.30,736.12,713.61,718.77,5939199
GOOG,2016-04-25,15:00:00,716.10,723.93,715.59,723.15,1955567
GOOG,2016-04-26,15:00:00,725.42,725.77,703.03,708.14,2727185
GOOG,2016-04-27,15:00:00,707.29,708.98,692.37,705.84,3086722
GOOG,2016-04-28,15:00:00,708.26,714.17,689.55,691.02,2851108
GOOG,2016-04-29,15:00:00,690.70,697.62,689.00,693.01,2484273
GOOG,2016-05-02,15:00:00,697.63,700.64,691.00,698.21,1644126
GOOG,2016-05-03,15:00:00,696.87,697.84,692.00,692.36,1530993
GOOG,2016-05-04,15:00:00,690.49,699.75,689.01,695.70,1688569
GOOG,2016-05-05,15:00:00,697.70,702.32,695.72,701.43,1677405
GOOG,2016-05-06,15:00:00,698.38,711.86,698.11,711.12,1826146
GOOG,2016-05-09,15:00:00,712.00,718.71,710.00,712.90,1508423
GOOG,2016-05-10,15:00:00,716.75,723.50,715.72,723.18,1563105
GOOG,2016-05-11,15:00:00,723.41,724.48,712.80,715.29,1686823
GOOG,2016-05-12,15:00:00,717.06,719.25,709.00,713.31,1360732
GOOG,2016-05-13,15:00:00,711.93,716.66,709.26,710.83,1307338
GOOG,2016-05-16,15:00:00,709.13,718.48,705.65,716.49,1316177
GOOG,2016-05-17,15:00:00,715.99,721.52,704.11,706.23,1999456
GOOG,2016-05-18,15:00:00,703.67,711.60,700.63,706.63,1763394
GOOG,2016-05-19,15:00:00,702.36,706.00,696.80,700.32,1656321
GOOG,2016-05-20,15:00:00,701.62,714.58,700.52,709.74,1816027
GOOG,2016-05-23,15:00:00,706.53,711.48,704.18,704.24,1320927
GOOG,2016-05-24,15:00:00,706.86,720.97,706.86,720.09,1920411
GOOG,2016-05-25,15:00:00,720.76,727.51,719.70,725.27,1629198
GOOG,2016-05-26,15:00:00,722.87,728.33,720.28,724.12,1542866
GOOG,2016-05-27,15:00:00,724.01,733.94,724.00,732.66,1974026
GOOG,2016-05-31,15:00:00,731.74,739.73,731.26,735.72,2129545
GOOG,2016-06-01,15:00:00,734.53,737.21,730.66,734.15,1253593
GOOG,2016-06-02,15:00:00,732.50,733.02,724.17,730.40,1341807
GOOG,2016-06-03,15:00:00,729.27,729.49,720.56,722.34,1226253
GOOG,2016-06-06,15:00:00,724.91,724.91,714.61,716.55,1566059
GOOG,2016-06-07,15:00:00,719.84,721.98,716.55,716.65,1336754
GOOG,2016-06-08,15:00:00,723.96,728.57,720.58,728.28,1583701
GOOG,2016-06-09,15:00:00,722.87,729.54,722.34,728.58,988914
GOOG,2016-06-10,15:00:00,719.47,725.89,716.43,719.41,1216443
GOOG,2016-06-13,15:00:00,716.51,725.44,716.51,718.36,1258930
GOOG,2016-06-14,15:00:00,716.48,722.47,713.12,718.27,1306065
GOOG,2016-06-15,15:00:00,719.00,722.98,717.31,718.92,1214517
