,Date,Mod Score,Average Score,Stock Price
0,13/05/16,4.0,8.0,1.1
1,13/06/16,1.0,1.0,1.85
2,12/04/16,1.0,1.0,5.09
3,21/04/16,0.0,2.0,3.76
5,11/05/16,1.0,-1.0,8.12
7,20/05/16,2.0,2.0,8.12
8,17/04/16,1.0,2.0,
13,10/04/16,1.0,2.0,
14,09/05/16,1.0,2.0,0.9
15,23/04/16,1.0,-2.0,
16,26/04/16,1.0,2.0,17.28
19,14/05/16,1.0,2.0,
20,24/04/16,1.0,2.0,
21,15/04/16,1.0,3.0,5.02
24,25/05/16,1.0,2.0,4.51
25,16/05/16,1.0,-2.0,7.36
27,11/04/16,1.0,1.0,6.92
28,09/04/16,-0.0,-2.0,
29,29/05/16,3.0,1.0,
30,17/05/16,1.0,2.0,9.76
33,27/05/16,3.0,2.0,8.65
34,10/06/16,2.0,1.0,0.0600000000001
36,13/04/16,0.0,-2.0,2.56
37,26/05/16,2.0,2.0,1.25
38,27/04/16,1.0,2.0,1.45
40,14/04/16,1.0,2.0,0.81
41,24/05/16,2.0,2.0,13.23
42,20/04/16,1.0,1.0,5.33
43,18/04/16,1.0,2.0,6.15
44,15/05/16,2.0,2.0,
45,22/04/16,0.0,2.0,7.53
46,11/06/16,1.0,-2.0,
47,14/06/16,1.0,1.0,1.79
48,25/04/16,0.0,-1.0,7.05
51,19/04/16,1.0,2.0,15.58
52,16/04/16,1.0,1.0,
54,12/06/16,1.0,2.0,
55,28/04/16,2.0,2.0,17.24
56,21/05/16,2.0,2.0,
58,19/05/16,2.0,2.0,2.04
59,18/05/16,2.0,2.0,2.96
61,28/05/16,3.0,5.0,
62,10/05/16,3.0,8.0,6.43
64,23/05/16,1.0,1.0,2.29
66,22/05/16,1.0,2.0,
71,12/05/16,2.0,4.0,3.75
73,29/04/16,1.0,1.0,2.31
