Stock Ticker,Date,Time,Open,High,Low,Close,Volume
MSFT,2016-04-01,15:00:00,55.05,55.61,54.57,55.57,24298612
MSFT,2016-04-04,15:00:00,55.43,55.66,55.00,55.43,18832210
MSFT,2016-04-05,15:00:00,55.19,55.30,54.46,54.56,19148783
MSFT,2016-04-06,15:00:00,54.36,55.20,54.21,55.12,21032057
MSFT,2016-04-07,15:00:00,54.87,54.91,54.23,54.46,18584125
MSFT,2016-04-08,15:00:00,54.67,55.28,54.32,54.42,22157037
MSFT,2016-04-11,15:00:00,54.49,55.15,54.30,54.31,21332336
MSFT,2016-04-12,15:00:00,54.37,54.78,53.76,54.65,24574169
MSFT,2016-04-13,15:00:00,55.12,55.44,54.89,55.35,20601278
MSFT,2016-04-14,15:00:00,55.22,55.58,55.07,55.36,20875102
MSFT,2016-04-15,15:00:00,55.30,55.92,55.11,55.65,28377584
MSFT,2016-04-18,15:00:00,55.49,56.59,55.21,56.46,23150318
MSFT,2016-04-19,15:00:00,56.63,56.77,55.68,56.39,29533701
MSFT,2016-04-20,15:00:00,56.29,56.50,55.48,55.59,36014074
MSFT,2016-04-21,15:00:00,55.80,56.23,55.41,55.78,36826521
MSFT,2016-04-22,15:00:00,51.91,52.43,50.77,51.78,125600219
MSFT,2016-04-25,15:00:00,51.78,52.13,51.63,52.11,33106540
MSFT,2016-04-26,15:00:00,52.26,52.35,51.09,51.44,33262278
MSFT,2016-04-27,15:00:00,51.48,51.50,50.55,50.94,43145896
MSFT,2016-04-28,15:00:00,50.62,50.77,49.56,49.90,42758226
MSFT,2016-04-29,15:00:00,49.35,50.25,49.35,49.87,48339735
MSFT,2016-05-02,15:00:00,50.00,50.75,49.78,50.61,33004106
MSFT,2016-05-03,15:00:00,50.34,50.41,49.60,49.78,26196074
MSFT,2016-05-04,15:00:00,49.84,50.06,49.46,49.87,24171449
MSFT,2016-05-05,15:00:00,49.87,50.30,49.73,49.94,25309543
MSFT,2016-05-06,15:00:00,49.92,50.39,49.66,50.39,24715575
MSFT,2016-05-09,15:00:00,50.49,50.59,50.00,50.07,17844648
MSFT,2016-05-10,15:00:00,50.33,51.10,50.19,51.02,22741527
MSFT,2016-05-11,15:00:00,51.13,51.78,51.00,51.05,23910684
MSFT,2016-05-12,15:00:00,51.20,51.81,50.92,51.51,24099431
MSFT,2016-05-13,15:00:00,51.44,51.90,51.04,51.08,22436700
MSFT,2016-05-16,15:00:00,50.80,51.96,50.75,51.83,19944632
MSFT,2016-05-17,15:00:00,51.72,51.73,50.36,50.51,27766669
MSFT,2016-05-18,15:00:00,50.48,51.14,50.30,50.81,24803172
MSFT,2016-05-19,15:00:00,50.47,50.62,49.82,50.32,23722753
MSFT,2016-05-20,15:00:00,50.48,51.22,50.40,50.62,23692434
MSFT,2016-05-23,15:00:00,50.60,50.68,49.98,50.03,25999674
MSFT,2016-05-24,15:00:00,50.70,51.71,50.40,51.59,34621638
MSFT,2016-05-25,15:00:00,51.92,52.49,51.79,52.12,24040186
MSFT,2016-05-26,15:00:00,51.93,51.98,51.36,51.89,24182929
MSFT,2016-05-27,15:00:00,51.92,52.32,51.77,52.32,17653660
MSFT,2016-05-31,15:00:00,52.26,53.00,52.08,53.00,37653081
MSFT,2016-06-01,15:00:00,52.44,52.95,52.44,52.85,25324828
MSFT,2016-06-02,15:00:00,52.64,52.74,51.84,52.48,22840779
MSFT,2016-06-03,15:00:00,52.38,52.42,51.60,51.79,23368291
MSFT,2016-06-06,15:00:00,51.99,52.35,51.89,52.13,18243271
MSFT,2016-06-07,15:00:00,52.24,52.73,52.10,52.10,20866770
MSFT,2016-06-08,15:00:00,52.02,52.44,51.87,52.04,21149438
MSFT,2016-06-09,15:00:00,52.00,52.00,51.49,51.62,20305664
MSFT,2016-06-10,15:00:00,51.05,52.05,51.04,51.48,25833151
MSFT,2016-06-13,15:00:00,49.58,50.72,49.06,50.14,83217844
MSFT,2016-06-14,15:00:00,49.90,50.10,49.57,49.83,42577106
MSFT,2016-06-15,15:00:00,49.78,50.12,49.69,49.69,33757639
