,Date,Mod Score,Average Score,Stock Price
0,13/05/16,1.0,1.0,0.36
1,13/06/16,1.0,2.0,0.56
2,12/04/16,1.0,1.0,0.28
3,21/04/16,0.0,1.0,0.02
5,11/05/16,0.0,2.0,0.08
7,20/05/16,1.0,1.0,0.14
8,26/04/16,1.0,2.0,0.82
13,09/06/16,2.0,2.0,0.38
14,09/05/16,2.0,2.0,0.42
16,23/04/16,1.0,-1.0,
17,28/04/16,1.0,-1.0,0.72
20,14/05/16,1.0,1.0,
21,24/04/16,1.0,2.0,
22,15/04/16,0.0,-2.0,0.35
25,25/05/16,0.0,-2.0,0.2
26,16/05/16,1.0,2.0,1.03
28,11/04/16,0.0,2.0,0.18
29,09/04/16,0.0,-2.0,
30,29/05/16,1.0,2.0,
31,17/05/16,0.0,-2.0,1.21
34,27/05/16,1.0,2.0,0.4
35,10/06/16,1.0,1.0,0.43
37,13/04/16,-0.0,-2.0,0.23
38,26/05/16,1.0,1.0,0.04
39,27/04/16,1.0,3.0,0.54
40,17/04/16,-0.0,-2.0,
41,14/04/16,0.0,2.0,0.14
42,24/05/16,1.0,2.0,0.89
43,20/04/16,0.0,1.0,0.7
44,18/04/16,1.0,1.0,0.97
45,15/05/16,1.0,2.0,
46,22/04/16,0.0,2.0,0.13
47,11/06/16,1.0,1.0,
48,14/06/16,1.0,1.0,0.07
49,25/04/16,1.0,1.0,0.33
52,19/04/16,1.0,2.0,0.24
53,16/04/16,0.0,-2.0,
55,12/06/16,1.0,1.0,
57,21/05/16,1.0,2.0,
59,19/05/16,1.0,2.0,0.15
60,18/05/16,1.0,1.0,0.33
62,28/05/16,1.0,2.0,
63,10/05/16,1.0,2.0,0.69
64,10/04/16,1.0,2.0,
66,23/05/16,1.0,2.0,0.57
68,22/05/16,-0.0,1.0,
72,12/05/16,1.0,2.0,0.31
74,29/04/16,1.0,2.0,0.52
