ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,timestamp
793548262481403904,u'#Microsoft Edge takes top spot over Chrome and Firefox in new security report. Read more: https://t.co/E7GtGdmkzD $MSFT',False,0,0,491,2.0,13,0,0,2016-11-01 20:20:23
793548107032113152,u'#Microsoft stops sales of Windows 7 Professional to OEMs. Read more: https://t.co/sA0K3NwMGF $MSFT',False,0,0,491,-1.0,17,0,0,2016-11-01 20:19:46
793541736345636866,u'How Apple lost last week to #Microsoft. Read more: https://t.co/IN490H5DSz $MSFT',False,0,0,491,-3.0,13,0,0,2016-11-01 19:54:27
793533188991619075,"u""How to prevent users from accessing the 'about:flags' settings page on #Microsoft Edge. Read more: https://t.co/p2GsiziqjJ $MSFT""",False,0,0,491,-1.0,10,0,0,2016-11-01 19:20:30
793547231458693125,u'@dasan I tweeted you last week that $MSFT \u2018s Power BI is aimed directly at $DATA',False,0,1,245,0.0,12,0,0,2016-11-01 20:16:18
793542756815601664,u'Dow #Stocks Trend $CVX $GS $BA $AXP $JPM $UTX $UNH $MCD $JNJ $MSFT $AAPL $DIS $IBM $WMT $KO $GE $PG $V $CAT  @ https://t.co/TvzJfd0RGT',False,0,0,912,0.0,60,0,0,2016-11-01 19:58:31
793523075199275009,u'Google clashes with #Microsoft over Windows flaw disclosure. Read more: https://t.co/udPgt6p1SL $MSFT',False,0,0,491,-2.0,11,0,0,2016-11-01 18:40:18
793533668522360834,u'Amazon Web Services: Cloudier Days Ahead? https://t.co/2NlEoPiIwI $IBM $GOOG $GOOGL $MSFT $ORCL $AMZN via @SeekingAlpha #AWS #Cloud',False,0,0,67,0.0,41,0,1,2016-11-01 19:22:24
793538526092533760,"u'Tesla, SolarCity shares fall ahead of merger details: SAN FRANCISCO (Reuters) - Shares of T... https://t.co/72zCbP2DG2 $IMTL $NFLX $MSFT'",False,0,0,259,2.0,34,0,0,2016-11-01 19:41:42
793537127472631808,u'$MSFT #2017shift #Trending #stochastic #plummet #BlueChip #Stocks #NASDAQ $COMPAQ #MarketCrash  https://t.co/tRrxOsC3VC',False,0,0,508,3.0,27,0,0,2016-11-01 19:36:09
793528863435399173,"u'Capex for big 3 ""hyperscale"" cloud computing providers has surged. Capital IQ consensus sees 56% gain from \'13-\'16.\u2026 https://t.co/8T6YeJ2l0b'",False,1,0,902,3.0,7,0,0,2016-11-01 19:03:18
793509860620939264,u'#Microsoft leads a tranformation in tablet market with 25% growth. Read more: https://t.co/CEKU0X6hBQ $MSFT',False,0,0,491,2.0,13,0,0,2016-11-01 17:47:48
793506950692605952,"u'Robshaw &amp; Julian Associates Inc. Sells 2,050 Shares of Microsoft Corp. $MSFT https://t.co/XGVuHLbl3u'",False,0,0,681,1.0,17,0,0,2016-11-01 17:36:14
793516842006577153,"u'Amazon, Alphabet, Microsoft combine for 12% year-term capital expenditure increa... $AMZN $MSFT $GOOG $GOOGL https://t.co/VtpgLZmoB2'",False,0,0,1298,0.0,24,0,0,2016-11-01 18:15:32
793535831231176704,u'#Microsoft Introducing Surface Studio video was shot using a robotic arm and an Xbox Elite ... Read more: https://t.co/eLGO97r79B $MSFT',False,0,0,491,0.0,15,0,0,2016-11-01 19:31:00
793510482502033408,u'#Microsoft Research releases Concept Graph to help computers conceptualize in a humanlike f... Read more: https://t.co/UwyrUMOS51 $MSFT',False,0,0,491,2.0,14,0,0,2016-11-01 17:50:16
793532567743893505,u'#Microsoft not at all happy with Google after Windows exploit reveal. Read more: https://t.co/cKca4GKlan $MSFT',False,0,0,491,1.0,11,0,0,2016-11-01 19:18:01
793517507697074176,u'RT @martin_wolf_: $AMZN $GOOG $MSFT cloud expenditures continue to rise\u2014is there room for 3? #Azure #AWS $CRM $NTNX $ORCL $EMC $VMW https:/\u2026',False,1,0,136,-1.0,35,0,1,2016-11-01 18:18:11
793514726508593154,u'#Long $MSFT 60 1st upped-gap @ (53-56) set on 06/16/16 and 2nd upped-gap @ (57-60) set on 10/21/16 to new highs.\nNr term obj:73\nStop Loss:55',False,0,0,26099,-3.0,8,0,0,2016-11-01 18:07:08
793521987431694336,u'Google clashes with #Microsoft over Windows flaw disclosure. Read more: https://t.co/rra98NCLhj $MSFT',False,0,0,491,-2.0,11,0,0,2016-11-01 18:35:59
793529448645689345,u'RT @ppprophet: $SPX THE PARTY IS OVER $SPY $VIX $TVIX $AAPL $DIA $QQQ $SDOW $MSFT $CSCO $FB $TWTR $GOOGL $GS $C $DB $JPM $BAC $GE $GM #STOC\u2026',False,45,0,172,0.0,81,0,0,2016-11-01 19:05:38
793520495916224512,"u""Apple Preparing To Eat BlackBerry's Lunch, Again https://t.co/raZoFewMAN $GOOGL $GOOG $HAR $MSFT $AAPL $BBRY""",False,0,0,2047,0.0,37,0,0,2016-11-01 18:30:03
793515459349876736,u'#Microsoft Project Scorpio will support Xbox 360 backwards compatibility. Read more: https://t.co/WzKgaK8gkq $MSFT',False,0,0,491,2.0,12,0,0,2016-11-01 18:10:02
793514107739770880,"u""Don't shoot the messenger...Windows should just shut up and patch it #infosec #security #vulnerability $MSFT https://t.co/0EbWxjdtyY""",False,0,0,2267,-3.0,9,0,0,2016-11-01 18:04:40
793529924464222208,u'#Microsoft bug could let hackers take control of computers . Read more: https://t.co/Y7BwA0KQMy $MSFT',False,0,0,491,0.0,12,0,0,2016-11-01 19:07:31
793533965944573952,u'3 best practices for managing Cumulative Updates in #Microsoft Dynamics NAV. Read more: https://t.co/bSFrzVyMZ7 $MSFT',False,0,0,491,3.0,17,0,0,2016-11-01 19:23:35
793533344365457408,u'#Microsoft finally stops selling Windows 8.1 and 7 to OEMs. Read more: https://t.co/qOGzykqPvX $MSFT',False,0,0,491,-1.0,14,0,0,2016-11-01 19:21:07
793512949419614208,u'A10X-Based Macs: A Technology Analysis https://t.co/fwRc4VLiDw $INTC $MSFT $AAPL',False,0,0,2047,0.0,23,0,0,2016-11-01 18:00:04
793516154820108288,"u'Microsoft introduces next-generation, open-source hyperscale cloud hardware design https://t.co/6NmR8m8KGY $MSFT'",False,0,0,142,0.0,10,0,0,2016-11-01 18:12:48
793530111194701824,u'RT @penny_pirate: ARE U ready for the next BEAR MARKET? $TVIX $VIX $UVXY $VXX #STOCKS #DAYTRADING #NYSE $GOOG $MSFT $BAC $C $JPM $WMT $FB $\u2026',False,55,0,172,0.0,70,0,1,2016-11-01 19:08:16
793522453909692416,u'Google clashes with #Microsoft over Windows flaw disclosure. Read more: https://t.co/q4Rfab3dWt $MSFT',False,0,0,491,-2.0,10,0,0,2016-11-01 18:37:50
793520489066958848,"u""Apple Preparing To Eat BlackBerry's Lunch, Again https://t.co/Xm4WoYyXLr $GOOGL $GOOG $HAR $MSFT $AAPL $BBRY""",False,0,0,4333,0.0,37,0,0,2016-11-01 18:30:02
793518567710875648,"u""#Microsoft launches 'Minecraft: Education Edition' for $5/user per year. Read more: https://t.co/TODjGDCCUc $MSFT""",False,0,0,491,0.0,17,0,0,2016-11-01 18:22:24
793535729339162624,u'RT @iran115: $BOX is target for buy out from $AAPL $MSFT $GOOG other stocks that can double $VYGR $HMNY  BOX Stock Can Pop 50% https://t.co\u2026',False,4,0,349,0.0,31,0,0,2016-11-01 19:30:35
793544533317259264,"u""This Isn't Your Father's #Microsoft Corporation Stock. Read more: https://t.co/Ua8yQ9fst4 $MSFT""",False,0,1,491,0.0,14,0,0,2016-11-01 20:05:34
793515588488458242,u'Microsoft Corp. $MSFT is State Board of Administration of Florida Retirement System\u2019s 4th Largest Position https://t.co/UWnmkZcY2Q',False,0,0,681,0.0,19,0,0,2016-11-01 18:10:33
793530079846420481,"u""#Microsoft How the Surface Studio's best feature is inspired by much older technology. Read more: https://t.co/UcB3CIvEP5 $MSFT""",False,0,0,491,5.0,15,0,0,2016-11-01 19:08:08
793523971236868096,u'RT @DevelopersWin: Why an #HTML5-compliant #dotNet is Important #Xamarin #NodeJS #reactnative #dotnetcore #windev #csharp #TCO $MSFT https:\u2026',False,4,0,264,0.0,22,0,0,2016-11-01 18:43:52
793536452948660225,u'#Microsoft announces Custom Modules in the Cortana Intelligence Gallery. Read more: https://t.co/cwxfziOPm5 $MSFT',False,0,0,491,0.0,13,0,0,2016-11-01 19:33:28
793533499890216960,u'#Microsoft One Month Free Trial for Azure Data Warehouse. Read more: https://t.co/TXLpYiqkg7 $MSFT',False,0,0,491,1.0,17,0,0,2016-11-01 19:21:44
793524853835964416,u'Microsoft Corp. $MSFT Shares Sold by Congress Asset Management Co. MA https://t.co/AkwYJU7Kbg',False,0,0,2451,3.0,19,0,0,2016-11-01 18:47:22
793541270207463424,u'#Microsoft Forza Horizon 3 Getting Winter Themed Expansion. Read more: https://t.co/rtmlc6Hri3 $MSFT',False,0,0,491,0.0,13,0,0,2016-11-01 19:52:36
793513369508524032,"u""SELL Signal 'Microsoft ( $MSFT)', Last: 59.46, Bid: 59.45, StochRSI: 80.02, prevStochRSI: 85.99, Trend: ---+- https://t.co/j9DRIMk524""",False,0,0,8,0.0,25,0,0,2016-11-01 18:01:44
793534177572364288,u'https://t.co/kc9tZNYHGQ: A Jungle Of A Business https://t.co/Qqet3jiYCg $FB $GOOG $GOOGL $MSFT $VMW $AMZN',False,0,0,4333,0.0,36,0,0,2016-11-01 19:24:25
