ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,timestamp
799310613746892800,u'Nibbled on my first tranche of $FB puts; stop &gt; $120\n\nSome short exposure vs. my long beta; also added $WBMD puts t\u2026 https://t.co/knOMEKFzaZ',True,0,0,12178,-1.0,14,0,0,2016-11-17 17:57:55
799310605324693504,u'Why did Peter Thiel sell so many $FB shares after the IPO....?',False,0,0,348,1.0,8,0,1,2016-11-17 17:57:53
799310440576729090,u'RT MARC FABER: $TSLA shareholders disapproved $SCTY merger $AAPL $INTC $IBM $CSCO $PCLN $QCOM $BABA $FB $MSFT $AMZN $NFLX $GOOG $TSLA $QQQ',False,0,0,78,-2.0,71,0,0,2016-11-17 17:57:14
799310578959392772,u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nWill Philidor Continuing Investigation Sna\u2026 https://t.co/vNg37hakoz',False,0,0,96,0.0,17,0,0,2016-11-17 17:57:47
799302585089982464,u'Wearables Go! free invitation. #wearables #stocks for #investors. $MSFT $AAPL $FB $GOOG $UA https://t.co/niHBb5b96r',False,0,0,324,1.0,20,1,0,2016-11-17 17:26:01
799307884471336961,"u""RT @srussolillo: A week into @realdonaldtrump's America, tech stocks are the Biggest Loser.  https://t.co/JqaZIyEQdu via @djtgallagher $FB\u2026""",False,2,0,2706,-3.0,13,0,0,2016-11-17 17:47:04
799299187137462273,"u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\n""These Two Men""'",False,0,0,96,0.0,14,0,0,2016-11-17 17:12:31
799300743085883392,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,340,-1.0,6,1,0,2016-11-17 17:18:42
799300934161539074,u'Facebook buys facial recognition tech startup - The Economic Times on Mobile https://t.co/eIJ374L33s default $TWTR $FB poor Snap',False,0,0,382,0.0,15,0,0,2016-11-17 17:19:27
799305885617164289,u'PortfolioBuzz: Tickers trending on TWTR in last 1 hour $AAPL $FB $VRX $WBK $WMT https://t.co/HWJDlJDzav https://t.co/fk4wh0W1nV',False,0,0,75,0.0,30,0,0,2016-11-17 17:39:08
799298150766964737,"u'RT @CNBCWEX: Early movers: $WMT, $BBY, $SJM, $SPLS, $AMZN, $AAPL, $GOOGL, $FB &amp; more https://t.co/F0Ne1GNQK6'",False,1,0,544,0.0,44,0,0,2016-11-17 17:08:24
799301000062529536,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,307,-1.0,6,1,0,2016-11-17 17:19:43
799299422777655296,u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nTanner Lied To Valeant Management!',False,0,0,96,-2.0,16,1,0,2016-11-17 17:13:27
799301834162794500,u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nQuick.  Cut the Conference Feed.  It Goes Against Us! Hurry!',False,0,0,96,-1.0,20,2,0,2016-11-17 17:23:02
799298384007860224,u'Cobra Location #daytrade Long $AAPL $NFLX $FB',False,1,0,1342,0.0,13,0,0,2016-11-17 17:09:19
799304983858515968,"u""$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nWe're Struggling With Even a $500MM Legal Settlement Reserve""",False,0,0,96,0.0,20,0,0,2016-11-17 17:35:33
799310590481154049,u'$SPY Should I Buy an #IPO? https://t.co/gtP999cZpm #stocks #stockmarket #finance #investing $QQQ $AAPL $GOOG $GOOGL $NFLX $AMZN $FB $TSLA $V',False,0,0,9202,0.0,42,0,1,2016-11-17 17:57:49
799302245418434566,"u'Facebook Inc. $FB Insider Christopher K. Cox Sells 15,600 Shares of Stock https://t.co/LrMpyH9IVm'",False,0,0,700,1.0,16,0,0,2016-11-17 17:24:40
799309134587777024,u'Wow the fuss about $FB effected #Election2016 by #fakenews then what do they have to say about #Popularvote won by #hillary #electoralvotes',False,0,0,88,7.0,5,0,0,2016-11-17 17:52:02
799300450168307712,"u'RT @alex: $FB shares have effectively quadrupled in value since mid-2013, even including recent declines.'",False,1,0,2225,3.0,4,0,0,2016-11-17 17:17:32
799303352358158337,u'timothysykes: BLOWOUT holiday sale here https://t.co/JXpHaBAf4V I want you to enjoy the holidays and invest in your education $FB $TWTR',False,0,0,1788,3.0,20,0,0,2016-11-17 17:29:04
799298071196639232,"u'$FB Buying The Dip, Increased Transparency Is Long-Term Tailwind https://t.co/mgAtjI7gBG'",False,0,0,16,1.0,15,0,0,2016-11-17 17:08:05
799301308448669697,u'BLOWOUT holiday sale here https://t.co/wv3GvWBWg6 I want you to enjoy the holidays and invest in your education $FB $TWTR',True,2,8,138189,3.0,18,0,0,2016-11-17 17:20:56
799308967356854272,u'$FB Facebook Buys Facial Recognition Technology Startup FacioMetrics https://t.co/vQG0kaw4bm',False,0,0,508,2.0,12,0,0,2016-11-17 17:51:22
799298964306661376,"u'$SEDG $TWTR $SQ set to bounce, $FB $AAPL set to go down in a 1 to 2 month long time frame. IMO. \u2600'",False,0,0,20,0.0,19,0,0,2016-11-17 17:11:38
799299019545726977,u'MARC FABER: Trump post election rally big time overdone $AAPL $SCTY $QCOM $BABA $FB $MSFT $AMZN $NFLX $GOOG $TSLA $QQQ',False,0,0,78,1.0,51,0,0,2016-11-17 17:11:51
799305533543092224,"u""A week into @realdonaldtrump's America, tech stocks are the Biggest Loser.  https://t.co/JqaZIyEQdu via @djtgallagher $FB $AMZN $NFLX $GOOGL""",True,2,0,12719,-3.0,24,0,0,2016-11-17 17:37:44
799300762895458304,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,244,-1.0,6,1,0,2016-11-17 17:18:46
799308999351029760,u'$TWTR Trump loves Twitter platform 1 of the Tech stock that can do good under Trump. $FB $AMZN $GOOG $AAPL having hard times',False,0,0,25844,5.0,22,0,0,2016-11-17 17:51:30
799307918118100992,u'PortfolioBuzz: Get tweets in 1 watchlist for major constituents of #FTSE100 $TWTR $FB $LNKD \u2026 https://t.co/vN4CxJlL7x',False,0,0,75,0.0,21,0,0,2016-11-17 17:47:12
799300660114182144,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,395,-1.0,6,1,0,2016-11-17 17:18:22
799303015719170048,"u'Facebook Inc. $FB Insider Christopher K. Cox Sells 15,600 Shares of Stock https://t.co/vGP9vKkXSJ'",False,0,0,895,1.0,17,0,0,2016-11-17 17:27:43
799304417543589888,u'Is the only thing not fake abt $FB its share price?',True,0,0,5340,-2.0,3,0,1,2016-11-17 17:33:18
799300549573230593,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,301,-1.0,6,1,0,2016-11-17 17:17:55
799309318818582528,u'Maybe I will set up a $FB account...\U0001f60d\U0001f600\U0001f61c\U0001f52b\U0001f52a\U0001f4c9\U0001f4a3 https://t.co/csT7nYEUqo',False,0,1,1327,0.0,15,0,0,2016-11-17 17:52:46
799298806164717568,"u""'Bond King' Jeffrey Gundlach thinks Trump will cause a bear market in FANG stocks $FB $AMZN $GOOG $NFLX https://t.co/vgJ3vcediW""",False,0,0,1859,0.0,25,0,0,2016-11-17 17:11:00
799300615243370496,"u'$SPY it\'s the ""Bull Train"" get Ready!! $QQQ $ES_F $AAPL $NFLX $PCLN $GS $JPM $GOOGL $AMZN $VIX $TRIN $SPX $UVXY $FB\u2026 https://t.co/T2l2QqPBGm'",False,0,0,706,0.0,59,2,0,2016-11-17 17:18:11
799299916627640320,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,350,-1.0,6,1,0,2016-11-17 17:15:25
799301826336145408,u'RT @timothysykes: BLOWOUT holiday sale here https://t.co/wv3GvWBWg6 I want you to enjoy the holidays and invest in your education $FB $TWTR',False,2,0,58,3.0,20,0,0,2016-11-17 17:23:00
799300413451210752,"u'$FB Fake News King: ""People are dumber. They just keep passing stuff around. Nobody fact-checks anything anymore."" https://t.co/HDB5TV3EY4'",False,0,1,1453,-3.0,15,0,0,2016-11-17 17:17:23
799298242274070528,"u""$vrx $agn $myl $mrk $srpt $twtr $prgo $fb $ko $pep\n\nWe've Reduced Our Legal Settlement Reserve to a Conservative $500MM""",False,0,0,96,2.0,9,0,0,2016-11-17 17:08:45
799304644635725825,"u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf \n""If We Had the Ability to charge others today we would have done it""'",False,0,0,96,2.0,12,0,0,2016-11-17 17:34:12
799307623103340544,"u'How @facebook affected #Election2016, according to #Zuckerberg and @realDonaldTrump https://t.co/Zp1Egum4rh $FB https://t.co/BPYVjDC1ZZ'",False,0,0,31139,-1.0,17,0,0,2016-11-17 17:46:02
799301560165486592,u'https://t.co/AAlC0qe2S2 &lt;-- Timothy Sykes shares how to make millions trading #pennystocks $FB $TWTR $YHOO',False,0,0,745,1.0,16,0,0,2016-11-17 17:21:56
799300134274301952,"u'Facebook Inc. $FB COO Sheryl Sandberg Sells 138,339 Shares https://t.co/hf7AGF2Jhl'",False,0,0,4763,1.0,15,0,0,2016-11-17 17:16:16
799307556372049920,u'$FB : 4164548f-a488-4eb1-84f0-be4aedf51058',False,0,0,38,0.0,2,0,0,2016-11-17 17:45:46
799305513653637121,u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nTake out The $2B Legal Settlement Adjustme\u2026 https://t.co/RHkQu1WfwA',False,0,0,96,2.0,22,0,0,2016-11-17 17:37:39
799307125268705280,u'If you follow $GBDC Check out this site! ----&gt; https://t.co/BkfhfqT8oP\n\n$SPWR $CHKR $FB $JRJC',False,0,0,189,0.0,23,1,0,2016-11-17 17:44:03
799298462638477314,u'RT @BretRosenthal: Cobra Location #daytrade Long $AAPL $NFLX $FB',False,1,0,158,0.0,17,0,0,2016-11-17 17:09:38
799303819704184832,u'RT MARC FABER: $TSLA shareholders disapproved $SCTY merger $AAPL $INTC $IBM $CSCO $PCLN $QCOM $BABA $FB $MSFT $AMZN $NFLX $GOOG $TSLA $QQQ',False,0,0,78,-2.0,71,0,0,2016-11-17 17:30:55
799299655053897728,"u""Notably, $FB's P/S ratio reached ~22 in late 2013/early 2014. Now under 14x. So, multiple compression even w/rising share price. Neat.""",True,0,2,55070,2.0,8,0,0,2016-11-17 17:14:22
799304461483130880,"u'RT @OptionAlert: Largest open interest increases among single stock options for 11/17 include $AAPL, $BAC, $CSCO, $JPM, and $FB.'",False,4,0,151,1.0,21,0,0,2016-11-17 17:33:28
799307885524242433,"u'$NFLX $GOOGL $AAPL $FB $AMZN:\n\nTime To Bite Into Apple, FANG Stocks: Piper Jaffray:\n\nhttps://t.co/KxlOXIruey'",False,0,0,1265,-4.0,35,0,0,2016-11-17 17:47:04
799300101084708864,u'$vrx $KO $PEP $AGN $srpt $fb $myl $mrk $twtr $amgn $tsro $iep $hlf $MNK\n\nCNBC Valeant Haters Pretend Lose Connection To Conference.  haha',False,0,0,96,-1.0,22,0,0,2016-11-17 17:16:09
799309689888657408,"u'RT @_davidelman: $FB buys FacioMetrics, which started @CarnegieMellon, for undisclosed terms. Shout out to my alma mater! https://t.co/8UB4\u2026'",False,2,0,101,0.0,11,1,0,2016-11-17 17:54:15
799303480431222784,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,41,-1.0,6,1,0,2016-11-17 17:29:34
799308240802738176,"u'RT @_davidelman: $FB buys FacioMetrics, which started @CarnegieMellon, for undisclosed terms. Shout out to my alma mater! https://t.co/8UB4\u2026'",True,2,0,544637,0.0,11,1,0,2016-11-17 17:48:29
799302567335333888,"u'Piper Jaffray reissues Overweight posture on Facebook, Amazon, Alphabet, Netflix $FB $AMZN $NFLX $GOOG $GOOGL https://t.co/In3HEHQpOE'",False,0,0,109,-1.0,33,0,0,2016-11-17 17:25:57
799303922661793793,u'Howdy! You are invited to access the #FreeTradeOfWeek\nvia \u2192 https://t.co/VS8RO1bzXJ\n\n$AAPL $SPY $DRYS $FB $SPX https://t.co/GX2MPB9qoG',False,1,1,107504,0.0,34,1,0,2016-11-17 17:31:20
799302113113292800,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,4892,-1.0,6,1,0,2016-11-17 17:24:08
799304107441799169,"u'TZA Acacia Communications, Inc. 52Wk Low\nRead More --&gt; https://t.co/W2p8adnRUd\n\n$TZA $CSCO $FB #invest'",False,0,0,206,0.0,22,0,0,2016-11-17 17:32:04
799302512926826496,"u'Free entry today, User: free  Pass: day  https://t.co/x2aTbeHB3T $GLD $NUGT $DUST $JDST $JNUG $AMZN $GOOG $AAPL $FB $TSLA $NFLX $TWTR $SVXY'",False,0,0,5162,2.0,56,0,0,2016-11-17 17:25:44
799309640723025921,u'In Q316 Walmart added 8 million new items to buy on its website $WMT $SPY $AMZN $TGT $FB https://t.co/CeHCvPut44',False,0,0,7129,0.0,22,0,0,2016-11-17 17:54:03
799310407907217408,u'https://t.co/xpXSx58xIF Join Jason Bond Picks some highly profitable trades! $FB $TWTR $LNKD',False,0,0,57,3.0,18,1,0,2016-11-17 17:57:06
799300714237489152,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,287,-1.0,6,1,0,2016-11-17 17:18:35
799307429393612800,u'Facebook Buys Startup FacioMetrics $FB https://t.co/mJdffQjF38 https://t.co/Xaj98FvmH3',False,0,0,6590,0.0,13,0,0,2016-11-17 17:45:16
799300463195787264,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,238,-1.0,6,1,0,2016-11-17 17:17:35
799303609586286592,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,21,-1.0,6,1,0,2016-11-17 17:30:05
799300102334521345,u'The Morning Dump - #satellites $GOOG $AAPL $FB $TWTR #NSA #Cyberattack #Russia #news #fake #QR https://t.co/5C37ii3VqV',False,0,0,117,-4.0,27,0,0,2016-11-17 17:16:09
799305709745623040,"u""RT @srussolillo: A week into @realdonaldtrump's America, tech stocks are the Biggest Loser.  https://t.co/JqaZIyEQdu via @djtgallagher $FB\u2026""",False,2,0,119,-3.0,13,0,0,2016-11-17 17:38:26
799310202096861184,"u""$FB 'Bond King' Jeffrey Gundlach Predicts Trump Will Cause #Facebook and #Amazon Stock to Crash https://t.co/1wWo7k8gwg $AMZN $TLT $SPY $QQQ""",False,0,0,9202,-2.0,28,0,0,2016-11-17 17:56:17
799298803765346304,"u'$FB shares have effectively quadrupled in value since mid-2013, even including recent declines.'",True,1,3,55070,3.0,2,0,0,2016-11-17 17:10:59
799307876800065536,"u'$FB buys FacioMetrics, which started @CarnegieMellon, for undisclosed terms. Shout out to my alma mater! https://t.co/8UB4tsJIQU'",False,2,2,27,0.0,13,1,0,2016-11-17 17:47:02
799298977598492673,"u""$FB just smart conservative sandbagging. That's what the best in the business do. Under promise, over deliver! https://t.co/hXR0eRp3V3""",False,0,0,111,5.0,8,1,0,2016-11-17 17:11:41
799306003686703104,u'RT @AlertTrade: Howdy! You are invited to access the #FreeTradeOfWeek\nvia \u2192 https://t.co/VS8RO1bzXJ\n\n$AAPL $SPY $DRYS $FB $SPX https://t.co\u2026',False,1,0,1368,0.0,32,1,0,2016-11-17 17:39:36
799300490550976512,u'Follow our #publications #admiralmarketsclub ! #SwingTrader #OptionsTrader $DAX $AAPL $TSLA $TWTR $GBPUSD $NFLX $FB\u2026 https://t.co/1LXmYWDYkz',False,0,0,1498,0.0,38,1,0,2016-11-17 17:17:41
799298109020831744,u'Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $BAC $CSCO $FB $AMZN $T',False,18,14,87943,-1.0,15,1,0,2016-11-17 17:08:14
799305367046000640,"u'Facebook Inc. $FB Insider Christopher K. Cox Sells 71,944 Shares https://t.co/8BbkwSJTAl'",False,0,0,4763,1.0,15,0,0,2016-11-17 17:37:04
799307603713130497,u'Gundlach: \u201cI see a real lose-lose setup for risk assets\u201d  \n\n$FB $AMZN $NFLX $GOOG \n\nhttps://t.co/spQcCrQ356',False,0,0,100,0.0,19,0,0,2016-11-17 17:45:57
799301273111531520,u'Follow our #publications ! #SwingTrader #OptionsTrader $DAX $AAPL $TSLA $TWTR $GBPUSD $EURUSD  $NFLX $FB\u2026 https://t.co/aAIpKKNdoM',False,0,0,1498,0.0,44,1,0,2016-11-17 17:20:48
799302339056332800,"u""@raynetoday I'm still astounded that anyone would use $FB as a news aggregator. Who does that?""",False,0,0,5417,3.0,4,0,1,2016-11-17 17:25:02
799309592463339520,u'The 7 Best Tech Stocks in the World $BABA $SAP $AMZN $FB $MELI $MSFT $PYPL $INTU https://t.co/x4pVKdDPPS https://t.co/ZDATbvqEKC',False,0,0,3588,3.0,47,0,0,2016-11-17 17:53:51
799301037408616448,u'RT @DayTradersGroup: Our #technology pick already up 26% from alert this morning - expires in 2 months!  possible 10 bagger #stockoptions $\u2026',False,18,0,217,-1.0,6,1,0,2016-11-17 17:19:52
