ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,emoticons
782854667109793792,RT @EsSpainVsWorld: USA PROM PARTY vs SPANISH FIESTA DE FIN DE CURSO https://t.co/W1F2jre96U,False,0,0,258,0.0,46,0,0,0
782854667432779776,Jennifer Nettles - Performs at the CAA Party on Day 2 of the IEBA 2015 Conference https://t.co/9gKge2pvw6 #JenniferNettles,False,0,0,40,0.0,16,0,0,0
782854668791771136,@BileysMullet ...its not working though. Can still remember @John_Ferrett shock announcement about joining a new political party last week 😃,False,0,0,1802,-5.0,5,0,0,1
782854670427557888,RT @ArthurPrice1902: Need some Sunday relaxation? These beautifully elegant tea light holders would look great at a dinner party... or n… ,False,0,0,4283,8.0,7,0,1,0
782854671375470592,RT @weekendradioby: What is needed for the Friday party! @ Weekend Radio Belarus &gt; https://t.co/WVqXFmQwGq #drumnbass #electro #trap… ,False,0,0,12,0.0,13,1,0,0
782854672331800576,RT @MalcolmFincken: She's happy to sacrifice UK manufacturing industry and financial services to satisfy the lunatic ambitions of the r… ,False,0,0,197,0.0,7,0,0,0
782854674554626048,"HAPPY MONDAY CLUBBER
TONIGHT ITS MONDAY NITE PARTY AT AMNESIA CLUB
""PLAY HITZ""
Mo, 3/10/16
Info:
022 86060712
BBM 5… https://t.co/eZlOz91uGO",False,0,0,271,3.0,73,0,0,0
782854675548741632,"@FoxorionDesign @AdamBorchardt @NizamovRus @TalkNerdyToMe72 https://t.co/Syw3TuRbgK&gt;Primaries File!Amdt 24:primaries=public, not party,elecs",False,0,0,1295,0.0,17,1,0,0
782854677058715648,हिमाचल में भी दिख रहा है 'आप'का दम! https://t.co/w0DnZ05W6j,False,0,0,293,0.0,3,1,0,0
782854674827194369,Some pictures from last week at #disneyland #Halloween party https://t.co/sckiXNtZEK,False,0,0,466,0.0,7,0,0,0
