Entry_No,Date,Sentiment_Score,Stock_Value
2,4/5/16,1,0.7
3,4/6/16,1,0.3
4,4/7/16,1,0.73
5,4/8/16,1,-1.41
6,4/11/16,1,-0.25
7,4/12/16,1,0.05
8,4/13/16,2,1.1
9,4/14/16,1,1.24
10,4/15/16,1,0.48
11,4/18/16,1,-2.26
12,4/19/16,1,-1.41
13,4/20/16,1,-0.97
14,4/21/16,0,0.49
15,4/22/16,0,-0.96
16,4/25/16,0,0.67
17,4/26/16,0,0.08
18,4/27/16,1,0.44
19,4/28/16,1,1.82
20,4/29/16,1,-2.78
21,5/2/16,0,-0.25
22,5/3/16,1,-0.33
23,5/4/16,2,0.98
24,5/5/16,1,-1.01
25,5/6/16,1,-0.76
26,5/9/16,1,-0.65
27,5/10/16,1,-0.21
28,5/11/16,1,0.09
29,5/12/16,0,-0.97
30,5/13/16,0,-2.38
31,5/16/16,1,0.52
32,5/17/16,0,1.49
33,5/18/16,2,-1.06
34,5/19/16,1,0.4
35,5/20/16,1,-0.44
36,5/23/16,1,0.58
37,5/24/16,0,0.56
38,5/25/16,1,0.68
39,5/26/16,1,0.95
40,5/27/16,1,0.73
41,5/31/16,1,0.91
42,6/1/16,1,0.26
43,6/2/16,0,-0.56
44,6/3/16,0,0.12
45,6/6/16,1,0.13
46,6/7/16,2,0.64
47,6/14/16,2,-0.22
,,,-0.08
