ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,emoticons
782373845445451776,u'RT @FreshNewsEditor: Who Cares About the New #iPhone #Camera? The Real Change Is #ApplePay. #Apple $AAPL https://t.co/5pRD08hBvS',False,4,0,2563,2.0,26,0,1,0
782373057134342145,u'#IAB: consumers buying more on #mobile than ever - #mcommerce $AAPL $GOOG #mwallet #ApplePay #AndroidPay https://t.co/MT9JjW4ge5',False,0,0,133,0.0,19,0,0,0
782372856684576768,"u""RT @AsymmetricAlpha: $TWTR Two words: Bidding War. \U0001f640\n\nYou better believe it's coming. \U0001f911\n$GOOGL $AAPL $DIS $CRM $FB $GOOG $AMZN https://t.co\u2026""",False,4,0,123,0.0,39,0,0,0
782372585702948864,u'#PartnershipOnAI: #Facebook #Microsoft $IBM #Google form #AI alliance - $GOOG $MSFT $FB $AAPL https://t.co/MF5gPJYTR8',False,0,0,133,0.0,33,0,0,0
782372221113229312,u'$AAPL #stocks #stockmarket #investing #business https://t.co/IQYVBRU2dL',False,0,0,160,0.0,12,0,0,0
782372097012097024,u'Are #mobileWallets the next fraud target? https://t.co/aY5Z9TQam8 $GOOG $AAPL #ApplePay #GoogleWallet #AndroidPay #mpayments #infosec',False,0,0,133,-4.0,20,0,1,0
782370035146821633,u'RT @Yusuf_11: Congrats @SadiqKhan ! @Apple to create #London home at Battersea Power Station https://t.co/nWv1MNOLIH #corpgov $AAPL #UK',False,2,0,1358,2.0,24,1,0,0
782369418978308096,u'RT @JustinPulitzer: Weekend Review VIDEO 10/2 $VIX $TLT $DB $WFC $XOM $IBB $BABA $SPY $IWM $QQQ $AAPL $AMZN $TWTR $FB $GOOGL $ACIA $TWLO ht\u2026',False,1,0,45194,0.0,68,0,0,0
782369271850627073,u'@jane_yul @verge verge $AAPL makes approximately 300 million every 3 days and it looks like VirnetX has an uphill battle winning on appeal',False,0,0,131,5.0,6,0,0,0
782369205974859776,"u""RT @AsymmetricAlpha: $TWTR Two words: Bidding War. \U0001f640\n\nYou better believe it's coming. \U0001f911\n$GOOGL $AAPL $DIS $CRM $FB $GOOG $AMZN https://t.co\u2026""",False,4,0,163,0.0,39,0,0,0
782368356762578944,u'@AbedGraham Looks like $PSID is going to run next #investing #stocks - $AAPL $SPY $FB $USD #Biotech #zikavirus',False,0,0,998,2.0,20,0,0,0
782368280715595777,u'Honestly @tim_cook how can you let $qcom or worse $googl BUY $NXPI when $aapl has ALL that cash sitting abroad doing nothing? Cars &amp; phones',False,0,0,2221,-3.0,12,0,1,0
782368278660444160,u'Weekend Review VIDEO 10/2 $VIX $TLT $DB $WFC $XOM $IBB $BABA $SPY $IWM $QQQ $AAPL $AMZN $TWTR $FB $GOOGL $ACIA $TWLO https://t.co/J4YtEZcQ7m',False,1,10,8165,0.0,69,0,0,0
782367658251399169,"u'RT @philiped: Random data point: My backordered piano black iPhone 7, promised for Monday, arrived today, four days early. Headed to Apple\u2026'",False,1,0,78,1.0,8,0,0,0
782366596295716864,u'RT @StockPolls: At what price should we buy in $NTNX?\n$NVDA\n$AAPL\n$AMD\n$VZ\n$MON\n$N\n$TTD\n$MCD\n$ELF\n$MGT\n$AIRG\n$MGT\n$PYPL\n$PG\n$PEP\n$M \n$COPA',False,1,0,1334,0.0,59,0,1,0
782366595523944448,"u""RT @AsymmetricAlpha: $TWTR Two words: Bidding War. \U0001f640\n\nYou better believe it's coming. \U0001f911\n$GOOGL $AAPL $DIS $CRM $FB $GOOG $AMZN https://t.co\u2026""",False,4,0,1334,0.0,39,0,0,0
782366594525782016,"u'RT @ClosingBellCo: Keep an eye on $AAPL next week. 1,527 stock traders have upped the ante. Up 20 positions from last week. https://t.co/NV\u2026'",False,1,0,1334,0.0,13,0,0,0
782366593741447169,"u'RT @QuotatiumLeader: ""My favorite things in life don\'t cost any money. It\'s really clear that the most precious resource we all have is tim\u2026'",False,1,0,1334,3.0,6,0,0,0
782366592780951552,u'RT @Investing_Books: Panic: The Story of Modern Financial Insanity by Michael Lewis: https://t.co/6ISkPdX7hs $SPY $IWM $RUT $VIX $AAPL',False,2,0,1334,-5.0,32,0,0,0
782366415177261056,u'RT @Yusuf_11: Congrats @SadiqKhan ! @Apple to create #London home at Battersea Power Station https://t.co/nWv1MNOLIH #corpgov $AAPL #UK',False,2,0,2783,2.0,24,1,0,0
782366204266622976,"u'RT @paulwoll: $Aapl  loses its patent battle against VirnetX $VHC, faces over $300 million in damages https://t.co/a9wAMfeJ9l'",False,3,0,339,-4.0,11,0,0,0
782366194607263744,u'RT @ppprophet: Another Stock Market Crash Inevitable by @wimgrommen #STOCKMARKET $SPY $VIX $TVIX $DIA $AAPL $MSFT $GS $C $JPM $BD\n\nhttps://\u2026',False,8,0,565,-2.0,47,0,0,0
782365900167143425,u'$AAPL looks like might be a good short https://t.co/dc6QvPrzuM',False,0,2,5949,5.0,7,0,0,0
782365601067110400,u'RT @Investing_Books: Panic: The Story of Modern Financial Insanity by Michael Lewis: https://t.co/6ISkPdX7hs $SPY $IWM $RUT $VIX $AAPL',False,2,0,22974,-5.0,32,0,0,0
782365364323692544,u'Congrats @SadiqKhan ! @Apple to create #London home at Battersea Power Station https://t.co/nWv1MNOLIH #corpgov $AAPL #UK',False,2,3,2965,2.0,21,1,0,0
782364525920157700,"u""RT @ppprophet: I DON'T SEE ANY BUBBLE RIGHT NOW , I SWEAR ! $SPX $SPY $DIA $DJI $AAPL  $VIX $TVIX $C $BAC $GM $GE $FB #STOCKMARKET https://\u2026""",False,207,0,132,-2.0,77,1,0,0
782363816894103553,u'RT @ppprophet: The Weight of the Bubbles $SPX $SPY $VIX $TVIX $UVXY $SDOM $SQQQ   $DJI $DIA $FB $AMZN  $GS $BAC $AA $KO $MCD $BA $C $TWTR $\u2026',False,52,0,132,0.0,61,0,0,0
782363766314954752,u'RT @ppprophet: Another Stock Market Crash Inevitable by @wimgrommen #STOCKMARKET $SPY $VIX $TVIX $DIA $AAPL $MSFT $GS $C $JPM $BD\n\nhttps://\u2026',False,8,0,132,-2.0,47,0,0,0
782363604318318592,u'RT @ppprophet: Roadmap for $DB  #stocks #stockmarket #trading $spx $dia $dji $vix $tvix $uvxy $vxx $xiv $aapl $c $jpm $gs $fb $amzn https:/\u2026',False,35,0,132,0.0,5,0,0,0
782363332867219457,"u'RT @ipwire: Apple $AAPL loses #patent retrial to VirnetX, owes $302.4 million\nhttps://t.co/jregfJ1y9w'",False,1,0,667,0.0,10,0,0,0
782362946651295744,"u""The Layman's Guide to Trading Stocks by Dave Landry: https://t.co/J1eGDt8g2d $AAPL $TSLA $Z $LEN $GLD $GDX $NUGT""",False,0,0,300,0.0,32,0,0,0
782362670594830336,"u'Apple $AAPL loses #patent retrial to VirnetX, owes $302.4 million\nhttps://t.co/jregfJ1y9w'",False,1,0,4678,0.0,8,0,0,0
782362652903346176,"u'Apple loses patent retrial to VirnetX, owes $302.4 million #patent $AAPL #wlst https://t.co/fs1zEWmkFA https://t.co/3Npl8kzh5Z'",False,0,0,1956,0.0,13,0,0,0
782362641423405056,"u'Apple $AAPL loses #patent retrial to VirnetX, owes $302.4 million\nhttps://t.co/0KMGFdAKJI'",False,0,2,832,0.0,15,0,0,0
782362341006462976,"u'RT @paulwoll: $Aapl  loses its patent battle against VirnetX $VHC, faces over $300 million in damages https://t.co/a9wAMfeJ9l'",False,3,0,1449,-4.0,11,0,0,0
782362053990354944,"u'RT @paulwoll: $Aapl  loses its patent battle against VirnetX $VHC, faces over $300 million in damages https://t.co/a9wAMfeJ9l'",False,3,0,267,-4.0,11,0,0,0
782361789845630976,u'$AAPL Purple Arrow Alert ! Outside Month https://t.co/MP3MRzr6Xg',False,0,0,67,-1.0,14,1,0,0
782361663613890560,"u'Apple loses its patent battle against VirnetX, faces over $300 million in damages $Aapl https://t.co/e2zHzx5yyz https://t.co/fqR4GNZlKI'",False,0,0,1956,-4.0,11,0,0,0
782361651152457728,"u'$Aapl  loses its patent battle against VirnetX $VHC, faces over $300 million in damages https://t.co/a9wAMfeJ9l'",False,3,4,17056,-4.0,9,0,0,0
782361274541744129,"u""RT @AsymmetricAlpha: $TWTR Two words: Bidding War. \U0001f640\n\nYou better believe it's coming. \U0001f911\n$GOOGL $AAPL $DIS $CRM $FB $GOOG $AMZN https://t.co\u2026""",False,4,0,84,0.0,39,0,0,0
782360206210543616,u'What price should we buy $NTNX?\nhttps://t.co/sISL0c3nKT\n$AAPL $TTD $ELF $AIRG $PG $M\n$PI',False,0,0,165,0.0,29,0,1,0
782359998093414400,u'RT @talkingmoose_: Companies that use #h1b staff aren\u2019t clever. They\u2019re #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $CA\u2026',False,1,0,279,2.0,40,0,0,0
782359910331797504,u'At what price should we buy in $NTNX?\n$NVDA\n$AAPL\n$AMD\n$VZ\n$MON\n$N\n$TTD\n$MCD\n$ELF\n$MGT\n$AIRG\n$MGT\n$PYPL\n$PG\n$PEP\n$M \n$COPA',False,1,0,165,0.0,55,0,1,0
782359356708888577,u'@InfoSocietyDays Looks like $PSID is going to run next #investing #stocks - $AAPL $SPY $FB $USD #Biotech #zikavirus',False,0,0,998,2.0,21,0,0,0
782359297669918720,"u'RT @cnntech: Apple recovered $40 million worth of gold from recycled iPhones, iPads &amp; Macs in 2015. https://t.co/789TYfVH0e $AAPL https://t\u2026'",False,32,0,6,4.0,14,0,0,0
782359246910390272,u'@MuleSoft Looks like $PSID is going to run next #investing #stocks - $AAPL $SPY $FB $USD #Biotech #zikavirus',False,0,0,998,2.0,20,0,0,0
782359116819918848,u'@rmarigorta Looks like $PSID is going to run next #investing #stocks - $AAPL $SPY $FB $USD #Biotech #zikavirus',False,0,0,998,2.0,18,0,0,0
782358452752515073,u'RT @cnntech: .@Apple finally ditched the despised 16GB iPhone: https://t.co/BEIpJkCsLF #iPhone7 $AAPL https://t.co/GdARiIha5m',False,52,0,4,0.0,22,0,0,0
782358117971525636,"u""$TWTR Two words: Bidding War. \U0001f640\n\nYou better believe it's coming. \U0001f911\n$GOOGL $AAPL $DIS $CRM $FB $GOOG $AMZN https://t.co/ue30xCJQtr""",False,4,6,338,0.0,38,0,0,0
782357681633910784,u'RT @busquetsmarcelo: $AAPL  semanal https://t.co/lrdbEupZoF',False,3,0,2175,0.0,9,0,0,0
782355153731002368,u'@Jackseesall @petenajarian I shoulda bet the farm on the Michigan game!!!! Almost as easy as $AAPL',False,0,2,610,1.0,8,4,0,0
